T: 803;  Temp: 31.00; Luminosidade: 30.00
T: 804;  Temp: 31.00; Luminosidade: 30.00
T: 805;  Temp: 31.00; Luminosidade: 30.00
T: 806;  Temp: 31.00; Luminosidade: 30.00
T: 807;  Temp: 31.00; Luminosidade: 30.00
T: 808;  Temp: 31.00; Luminosidade: 30.00
T: 809;  Temp: 31.00; Luminosidade: 30.00
T: 810;  Temp: 31.00; Luminosidade: 30.00
T: 811;  Temp: 31.00; Luminosidade: 30.00
T: 812;  Temp: 31.00; Luminosidade: 30.00
T: 813;  Temp: 31.00; Luminosidade: 30.00
T: 814;  Temp: 31.00; Luminosidade: 45.00
T: 815;  Temp: 32.00; Luminosidade: 45.00
T: 816;  Temp: 31.00; Luminosidade: 45.00
T: 817;  Temp: 32.00; Luminosidade: 45.00
T: 818;  Temp: 32.00; Luminosidade: 45.00
T: 819;  Temp: 32.00; Luminosidade: 45.00
T: 820;  Temp: 32.00; Luminosidade: 45.00
T: 821;  Temp: 31.00; Luminosidade: 45.00
T: 822;  Temp: 32.00; Luminosidade: 45.00
T: 823;  Temp: 32.00; Luminosidade: 45.00
T: 824;  Temp: 32.00; Luminosidade: 45.00
T: 825;  Temp: 32.00; Luminosidade: 45.00
T: 826;  Temp: 31.00; Luminosidade: 45.00
T: 827;  Temp: 32.00; Luminosidade: 45.00
T: 828;  Temp: 31.00; Luminosidade: 45.00
T: 829;  Temp: 32.00; Luminosidade: 45.00
T: 830;  Temp: 32.00; Luminosidade: 45.00
T: 831;  Temp: 32.00; Luminosidade: 45.00
T: 832;  Temp: 32.00; Luminosidade: 45.00
T: 833;  Temp: 33.00; Luminosidade: 45.00
T: 834;  Temp: 32.00; Luminosidade: 45.00
T: 835;  Temp: 32.00; Luminosidade: 45.00
T: 836;  Temp: 32.00; Luminosidade: 45.00
T: 837;  Temp: 32.00; Luminosidade: 45.00
T: 838;  Temp: 32.00; Luminosidade: 45.00
T: 839;  Temp: 32.00; Luminosidade: 45.00
T: 840;  Temp: 32.00; Luminosidade: 45.00
T: 841;  Temp: 32.00; Luminosidade: 45.00
T: 842;  Temp: 32.00; Luminosidade: 45.00
T: 843;  Temp: 33.00; Luminosidade: 45.00
T: 844;  Temp: 32.00; Luminosidade: 45.00
T: 845;  Temp: 33.00; Luminosidade: 45.00
T: 846;  Temp: 33.00; Luminosidade: 45.00
T: 847;  Temp: 33.00; Luminosidade: 45.00
T: 848;  Temp: 33.00; Luminosidade: 45.00
T: 849;  Temp: 32.00; Luminosidade: 45.00
T: 850;  Temp: 33.00; Luminosidade: 45.00
T: 851;  Temp: 33.00; Luminosidade: 45.00
T: 852;  Temp: 33.00; Luminosidade: 45.00
T: 853;  Temp: 33.00; Luminosidade: 45.00
T: 854;  Temp: 33.00; Luminosidade: 45.00
T: 855;  Temp: 33.00; Luminosidade: 45.00
T: 856;  Temp: 33.00; Luminosidade: 45.00
T: 857;  Temp: 33.00; Luminosidade: 45.00
T: 858;  Temp: 33.00; Luminosidade: 45.00
T: 859;  Temp: 33.00; Luminosidade: 45.00
T: 860;  Temp: 34.00; Luminosidade: 45.00
T: 861;  Temp: 33.00; Luminosidade: 45.00
T: 862;  Temp: 34.00; Luminosidade: 45.00
T: 863;  Temp: 33.00; Luminosidade: 45.00
T: 864;  Temp: 34.00; Luminosidade: 45.00
T: 865;  Temp: 33.00; Luminosidade: 45.00
T: 866;  Temp: 34.00; Luminosidade: 45.00
T: 867;  Temp: 33.00; Luminosidade: 45.00
T: 868;  Temp: 33.00; Luminosidade: 45.00
T: 869;  Temp: 33.00; Luminosidade: 45.00
T: 870;  Temp: 34.00; Luminosidade: 45.00
T: 871;  Temp: 33.00; Luminosidade: 45.00
T: 872;  Temp: 34.00; Luminosidade: 45.00
T: 873;  Temp: 34.00; Luminosidade: 45.00
T: 874;  Temp: 33.00; Luminosidade: 45.00
T: 875;  Temp: 34.00; Luminosidade: 45.00
T: 876;  Temp: 33.00; Luminosidade: 45.00
T: 877;  Temp: 34.00; Luminosidade: 45.00
T: 878;  Temp: 33.00; Luminosidade: 45.00
T: 879;  Temp: 34.00; Luminosidade: 45.00
T: 880;  Temp: 34.00; Luminosidade: 45.00
T: 881;  Temp: 34.00; Luminosidade: 45.00
T: 882;  Temp: 34.00; Luminosidade: 45.00
T: 883;  Temp: 34.00; Luminosidade: 45.00
T: 884;  Temp: 34.00; Luminosidade: 45.00
T: 885;  Temp: 34.00; Luminosidade: 45.00
T: 886;  Temp: 34.00; Luminosidade: 45.00
T: 887;  Temp: 34.00; Luminosidade: 45.00
T: 888;  Temp: 34.00; Luminosidade: 45.00
T: 889;  Temp: 34.00; Luminosidade: 45.00
T: 890;  Temp: 34.00; Luminosidade: 45.00
T: 891;  Temp: 34.00; Luminosidade: 45.00
T: 892;  Temp: 34.00; Luminosidade: 45.00
T: 893;  Temp: 34.00; Luminosidade: 45.00
T: 894;  Temp: 34.00; Luminosidade: 45.00
T: 895;  Temp: 34.00; Luminosidade: 45.00
T: 896;  Temp: 35.00; Luminosidade: 45.00
T: 897;  Temp: 34.00; Luminosidade: 45.00
T: 898;  Temp: 34.00; Luminosidade: 45.00
T: 899;  Temp: 35.00; Luminosidade: 45.00
T: 900;  Temp: 34.00; Luminosidade: 45.00
T: 901;  Temp: 34.00; Luminosidade: 45.00
T: 902;  Temp: 34.00; Luminosidade: 45.00
T: 903;  Temp: 35.00; Luminosidade: 45.00
T: 904;  Temp: 34.00; Luminosidade: 45.00
T: 905;  Temp: 35.00; Luminosidade: 45.00
